what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1331838428312
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331838428313
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1331838428314
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1331838428317
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1331838428318
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1331838428322
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1331838428322
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1331838428323
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1331838428325
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1331838428326
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1331838428328
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1331838428328
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1331838428329
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1331838428331
os,sysinfo,,,"macosx",1331838428400
arch,sysinfo,,,"x86_64",1331838428400
ws,sysinfo,,,"cocoa",1331838428400
locale,sysinfo,,,"en_US",1331838428400
processors,sysinfo,,,"2",1331838428400
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331838428400
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-9M3425",1331838428400
java.specification.name,sysinfo,,,"Java Platform API Specification",1331838428400
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331838428400
java.specification.version,sysinfo,,,"1.6",1331838428400
java.vendor,sysinfo,,,"Apple Inc.",1331838428400
java.version,sysinfo,,,"1.6.0_26",1331838428400
java.vm.info,sysinfo,,,"mixed mode",1331838428400
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331838428400
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331838428400
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331838428400
java.vm.specification.version,sysinfo,,,"1.0",1331838428400
java.vm.vendor,sysinfo,,,"Apple Inc.",1331838428400
java.vm.version,sysinfo,,,"20.1-b02-384",1331838428400
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1331838428555
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1331838428594
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1331838428633
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1331838428663
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1331838428770
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1331838428852
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1331838428874
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1331838429005
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1331838429076
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1331838429252
closed,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1331838429343
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1331838429668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331838430697
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1331838431704
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1331838432082
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1331838432561
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1331838433976
